Key,search,Results
hearts,37893,85.97147751
christmas,24402,191.2283204
heart,15517,116.1837525
thanksgiving,12588,112.2467344
aesthetic,10646,401.5769346
love,7445,124.980636
pink,7784,208.4813178
tumblr,6971,243.6625801
crown,6515,138.1943847
yellow,6811,173.1646069
flowers,6128,145.9965816
flower,6199,143.617341
stars,5450,109.3099085
blue,5759,189.5307851
black,5671,168.2473253
red,5259,190.5308188
sad,4164,214.9395645
emoji,3789,351.0855329
purple,4015,201.0421149
smoke,3436,108.4792667
rose,3218,154.0210135
glitter,3194,112.8745022
supreme,3229,77.74408168
rainbow,3200,71.7534944
kawaii,3128,273.6570039
bts,3158,238.4589117
snow,3085,107.6192001
star,2960,105.6563993
circle,2759,129.7678299
birthday,2850,142.595619
sparkle,2613,103.0853024
tattoo,2629,238.6203098
overlay,2501,390.5196153
cute,2539,139.0688147
white,2645,143.4617188
blood,2417,129.959807
free,2362,184.9934298
turkey,2285,59.45000397
fire,2266,84.23767612
quotes,2199,181.4100081
santa,2471,62.66678002
roses,2089,110.3240937
pastel,2240,213.2064028
pixel,2221,376.8206634
icon,2145,167.2343672
money,2095,82.74022588
wings,2036,102.5043465
galaxy,2055,131.0748452
eyes,1997,111.6314184
baby,2153,165.7740634
green,2219,161.5412266
butterfly,1961,121.5525531
trippy,1991,133.2476291
glasses,1921,109.506575
hair,1968,125.8063259
fall,1981,100.8730776
sparkles,1875,110.8152966
arrow,1872,91.15353269
overlays,1820,175.9631868
orange,2072,146.2570696
snapchat,2030,112.0494504
moon,1825,81.95216376
gucci,1926,68.93488993
space,1803,131.3065974
lips,1668,114.9706235
eye,1673,107.3882284
blush,1594,65.69850949
hat,1584,192.633072
daddy,1563,126.3698676
emojis,1538,153.208397
grunge,1533,199.788766
meme,1479,165.5835024
anime,1741,357.4022533
neon,1639,226.6540452
vaporwave,1499,204.2034347
weed,1401,123.8210228
makeup,1406,219.8138024
gold,1615,199.9685433
tree,1359,137.2938822
leaves,1257,89.37231504
family,1311,127.8131701
clouds,1193,87.07460184
line,1224,105.8024018
angel,1271,141.5761
unicorn,1224,113.1551539
winter,1200,124.803628
words,1161,215.3126615
cat,1229,173.2130047
quote,1134,200.8977072
background,1155,161.6152608
music,1172,122.7405101
sun,1163,87.84744589
gun,1136,99.02582117
birds,1095,80.27853881
cloud,1060,70.78207547
border,1082,191.1374405
queen,1145,116.3023663
halo,1030,42.31165049
lights,1099,175.9327566
x,1003,60.63609172
glitch,1011,128.9178571
lines,975,88.04410256
snowflake,990,70.26872152
navidad,952,193.762605
thanks,984,71.27882252
lit,921,87.61346363
water,978,129.1373688
jimin,949,162.460894
thankful,974,69.53676906
slime,894,89.18008949
alien,938,146.2422098
princess,873,170.8923253
peach,945,88.55287381
frame,894,304.3275691
clout,916,27.76103212
kiss,828,90.85024155
dog,877,115.5374709
tears,825,84.73939394
devil,942,100.9822443
light,833,90.48911994
bape,848,68.2283964
gang,841,75.66937693
mask,782,161.0792839
food,778,142.8007712
broken,962,108.4117514
lean,791,49.37032691
girl,799,126.8807932
disney,797,395.5050847
text,797,179.4044958
jungkook,780,155.2706433
bow,727,126.4552957
instagram,819,138.5279869
square,713,102.227209
freckles,705,17.03687943
planets,733,83.69576944
cool,725,209.8477936
90s,731,147.5857467
lightning,682,55.82844575
tattoos,675,99.52444444
hea,673,15.51263001
dark,727,126.4003015
ddlg,669,107.2825112
piercing,703,61.01517991
sunglasses,667,97.34032984
butterflies,663,89.51282051
happy,894,105.2649065
smile,650,100.7046154
eyelashes,642,40.93302181
gay,641,90.30421217
snowflakes,641,44.89703588
icons,639,148.1001565
sunflower,616,62.24675325
wig,610,115.8622951
friends,610,92.81803279
tear,647,50.92437376
vhs,630,24.35221562
naruto,675,180.0018902
aes,596,67.84563758
nike,641,79.89927293
snap,594,72.96969697
cherry,616,69.40368151
memes,582,136.2079038
youtube,625,52.39087302
suga,624,178.4591415
bff,571,97.32049037
filter,568,97.04049296
paint,653,123.2956192
king,594,67.70231729
iphone,709,128.8644902
bird,555,113.5351351
leaf,549,81.32786885
necklace,546,117.970696
cross,541,99.25138632
skull,577,137.2101304
edit,539,232.0723562
mouth,538,94.10966543
s,537,52.65363128
camera,562,114.6847744
shirt,531,119.7890772
rain,566,106.686558
simpsons,529,106.7618147
tatto,526,85.84410646
dress,517,132.1624758
goth,516,149.6686047
hand,562,153.9892378
planet,515,89.58058252
parental,681,19.72678786
balloons,511,101.890411
highlight,509,35.978389
finn,630,49.53453465
diamond,547,98.80634383
crybaby,499,181.1903808
lps,583,167.3117127
beard,492,67.30284553
phone,518,125.4820887
babygirl,481,80.96673597
spongebob,478,107.3138075
face,476,104.0903361
holiday,476,89.71848739
sky,468,94.25213675
party,511,166.0175489
fish,460,108.6173913
pokemon,499,263.238155
a,460,67.91304348
wing,445,93.65393258
banner,444,142.472973
candy,472,139.6843137
it,471,76.49340423
c,437,53.08466819
plants,436,115.662844
depression,469,87.18800389
bubbles,429,78.49417249
message,426,142.9037559
bubble,456,160.9569639
1,459,84.40277778
mermaid,422,214.1611374
eyebrows,421,40
sexy,417,18.71223022
glow,415,86.53012048
horns,413,63.15496368
mandala,412,83.09951456
polaroid,411,71.76885645
ariana,534,104.5700433
eyebrow,409,45.14180929
xmas,409,100.6625917
beach,408,139.0612745
ears,401,102.3291771
kpop,400,128.1175
vapor,399,83.38345865
younique,437,71.7064167
shine,398,86.00502513
crowns,397,54.08312343
riverdale,392,94.25510204
bad,483,114.3517465
chain,389,78.37017995
guns,388,67.37113402
dead,418,110.0483303
clothes,379,168.994723
taehyung,431,210.8502892
lgbt,378,108.3227513
wolf,375,151.0346667
art,374,145.4625668
football,371,89.38005391
adidas,370,76.37837838
l,369,89.41192412
diamonds,364,110.0054945
elf,412,45.93818681
texts,363,85.36639118
knife,363,69.2892562
depressed,362,74.55801105
stranger,528,34.71448779
b,362,53.17679558
tiara,361,74.82271468
dank,357,84.94117647
holo,356,75.80337079
swirl,354,78.7740113
hands,353,121.0424929
h,353,60.33144476
headband,349,88.5530086
car,349,98.30372493
peace,385,168.994843
demon,347,126.1268012
lashes,345,50.31014493
fairy,343,198.2215743
trees,342,105.9707602
80s,339,67.89085546
jin,338,200.3313609
grey,385,109.8916296
deer,336,115.8422619
drake,336,89.36904762
autumn,336,120.7083333
coffee,335,148.6447761
jhope,335,181.6
balloon,332,125.8012048
savage,332,88.11445783
ring,331,100.7190332
drugs,330,60.46060606
cry,330,133.8727273
scary,361,153.0876862
confetti,323,61.3374613
sup,322,23.99689441
drip,321,89.2834891
pizza,321,64.24299065
hot,319,165.5862069
eyeliner,319,47.37304075
eleven,318,61.6572327
reindeer,376,52.44236608
vintage,317,109.4921136
bunny,345,109.7039244
messages,314,65.13375796
imvu,353,228.9467173
sleep,312,97.2724359
magic,312,125.6346154
like,343,71.14707403
loren,311,58.53697749
funny,310,96.46451613
cake,309,100.7313916
vans,309,62.72491909
tatoo,308,79.30194805
death,307,103.1465798
grass,307,89.85016287
mustache,306,57.70588235
3d,355,123.1139456
lip,303,74.24752475
dragon,302,117.0264901
starbucks,302,54.97350993
flames,301,59.13953488
subscribe,301,50.63787375
brown,356,107.7789286
blessed,300,51.79
m,299,76.11036789
p,299,89.85953177
basketball,329,72.11203724
babe,295,84.58305085
present,293,48.91808874
pattern,293,336.3993174
i,342,74.44653325
exo,290,182.4724138
choker,289,48.04152249
scarf,286,99.42307692
thrasher,285,37.13333333
thank,285,63.18245614
flame,282,74.53900709
presents,281,41.17793594
arrows,281,61.02846975
roblox,310,131.4946429
hats,279,70.3297491
city,277,56.08303249
sale,276,84.36956522
e,275,56.73454545
weird,275,113.1018182
head,311,82.42924242
satan,275,95.42181818
cats,274,128.459854
2,273,69.24908425
msp,309,179.4783272
ocean,273,76.6996337
wedding,313,183.2804487
t,272,62.36764706
grid,271,66.30627306
soccer,270,139.7962963
bart,332,84.34456392
teeth,270,85.78888889
shoes,270,108.1814815
no,269,72.75464684
ghost,268,91.99253731
outline,267,115.6853933
holidays,267,77.46816479
speech,351,76.3926565
doodle,267,125.7228464
fog,267,41.81273408
cnco,266,170.1390977
ornament,265,70.54339623
box,264,62.10984848
watercolor,263,238.756654
snake,263,79.22813688
xxxtentacion,262,73.77480916
f,261,59.89655172
dope,260,112.3769231
plant,260,94.52692308
puppy,259,77.84555985
triangle,258,96.37984496
shapes,257,105.2373541
flash,257,77.91439689
420,256,82.80859375
shadow,254,134.7952756
rectangle,254,20.92913386
hear,254,38.39370079
nose,285,72.20516891
fruit,254,93.63779528
shopping,253,90.60079051
twitter,252,40.03968254
rip,252,73.55555556
hippie,251,85.47808765
bae,251,89.56175299
ribbon,251,126.8247012
mom,287,102.4607568
people,250,150.36
lipstick,250,101.164
imessage,249,78.23293173
ice,249,83.45783133
best,320,53.3832796
blur,248,88.26209677
eyeshadow,247,88.17813765
nature,247,161.5303644
edgy,246,41.24390244
wow,245,73.72653061
graffiti,244,162.9672131
tape,243,101.8888889
merry,365,84.28013897
color,243,103.308642
girls,282,441.9409623
snowman,243,60.74074074
eyelash,242,64.52066116
bear,241,153.1784232
beautiful,241,83.37759336
minecraft,240,82.04166667
dogs,238,116.9033613
mickey,301,159.8036881
cutie,238,66.28151261
ari,238,74.74369748
beer,237,72.32489451
animals,236,285.4491525
paper,236,142.9830508
dolan,321,98.03901534
mlg,235,52.74468085
rock,270,310.6517094
pretty,234,92.6965812
yoongi,234,120.3290598
evil,234,95.34615385
namjoon,234,134.6666667
drawing,268,159.3869194
aesthe,231,65.18181818
crazy,231,87.5021645
r,230,50.19565217
bee,229,78.24017467
computer,228,117.5921053
cactus,228,94.36842105
floral,228,101.122807
amor,227,170.6035242
earring,227,68.39207048
png,256,178.5213864
jesus,226,102.9955752
lion,226,128.2920354
strawberry,226,57.11061947
couple,226,166.1637168
design,225,183.52
sunset,225,68.34222222
wine,225,73.45777778
thanksgiv,224,64.75446429
cartoon,223,224.6950673
patch,223,130.2421525
panda,222,109.2882883
dream,219,97.03196347
censored,219,49.57990868
jordan,249,68.00388128
